Date,Close
1983-01-03,45.38
1983-01-04,45.15
1983-01-05,46.74
1983-01-06,47.26
1983-01-07,47.9
1983-01-10,48.52
1983-01-11,48.67
1983-01-12,48.33
1983-01-13,48.66
1983-01-14,47.93
1983-01-17,48.08
1983-01-18,47.27
1983-01-19,47.21
1983-01-20,47.37
1983-01-21,47.67
1983-01-24,46.06
1983-01-25,46.8
1983-01-26,47.28
1983-01-27,46.89
1983-01-28,48.18
1983-01-31,48.37
1983-02-01,48.07
1983-02-02,47.52
1983-02-03,47.82
1983-02-04,47.84
1983-02-07,48.13
1983-02-08,48.47
1983-02-09,48.6
1983-02-10,48.83
1983-02-11,49.76
1983-02-14,49.86
1983-02-15,50.89
1983-02-16,51.79
1983-02-17,51.12
1983-02-18,50.92
1983-02-21,51.02
1983-02-22,51.09
1983-02-23,50.99
1983-02-24,51.29
1983-02-25,51.34
1983-02-28,51.26
1983-03-01,51.61
1983-03-02,52.81
1983-03-03,53.56
1983-03-04,54.53
1983-03-07,55.77
1983-03-08,55.43
1983-03-09,55.01
1983-03-10,55.93
1983-03-11,55.33
1983-03-14,55.57
1983-03-15,55.23
1983-03-16,55.84
1983-03-17,55.82
1983-03-18,56.06
1983-03-21,55.54
1983-03-22,56.55
1983-03-23,56.85
1983-03-24,58.56
1983-03-25,59.25
1983-03-28,59.38
1983-03-29,59.03
1983-03-30,58.75
1983-03-31,60.24
1983-04-05,60.02
1983-04-06,60.05
1983-04-07,59.82
1983-04-08,59.94
1983-04-11,60.92
1983-04-12,61.71
1983-04-13,60.47
1983-04-14,59.49
1983-04-15,60.44
1983-04-18,60.48
1983-04-19,58.97
1983-04-20,57.98
1983-04-21,58.24
1983-04-22,58.07
1983-04-25,58.85
1983-04-26,58.17
1983-04-27,58.21
1983-04-28,57.19
1983-04-29,57.2
1983-05-02,56.88
1983-05-03,56.35
1983-05-05,57.65
1983-05-06,59.08
1983-05-09,59.1
1983-05-10,59.46
1983-05-11,59.54
1983-05-13,59.84
1983-05-16,58.75
1983-05-17,58.25
1983-05-18,58.3
1983-05-19,57.02
1983-05-20,56.61
1983-05-24,56.91
1983-05-25,57.42
1983-05-26,57.17
1983-05-27,56.82
1983-05-30,56.5
1983-05-31,57.24
1983-06-01,56.34
1983-06-02,56.38
1983-06-03,56.68
1983-06-06,57.2
1983-06-07,57.68
1983-06-08,57.47
1983-06-09,59.5
1983-06-10,60.01
1983-06-13,61.16
1983-06-14,61.54
1983-06-15,61.35
1983-06-16,61.85
1983-06-17,61.77
1983-06-20,62.94
1983-06-21,63.11
1983-06-22,63.33
1983-06-23,63.45
1983-06-24,63.53
1983-06-27,64.19
1983-06-28,63.65
1983-06-29,63.03
1983-06-30,64.01
1983-07-01,64.11
1983-07-04,63.75
1983-07-05,64.02
1983-07-06,64.81
1983-07-07,65.14
1983-07-08,64.89
1983-07-11,64.59
1983-07-12,63.96
1983-07-13,62.85
1983-07-14,63.89
1983-07-15,63.22
1983-07-18,62.83
1983-07-19,63.72
1983-07-20,64.96
1983-07-21,65.3
1983-07-22,65.16
1983-07-25,65
1983-07-26,66.32
1983-07-27,67.08
1983-07-29,66.06
1983-08-01,65.44
1983-08-02,65.98
1983-08-03,66.07
1983-08-04,66.8
1983-08-05,66.16
1983-08-08,65.95
1983-08-09,65.41
1983-08-10,65.33
1983-08-11,66.42
1983-08-12,65.96
1983-08-15,66.76
1983-08-16,66.41
1983-08-17,66.25
1983-08-18,66.61
1983-08-19,66.09
1983-08-22,66.64
1983-08-23,65.34
1983-08-24,64.41
1983-08-25,63.22
1983-08-26,63.67
1983-08-29,63.49
1983-08-30,64.02
1983-08-31,63.79
1983-09-01,64.16
1983-09-02,63.78
1983-09-05,64.03
1983-09-06,64.97
1983-09-07,64.37
1983-09-08,64.43
1983-09-09,64.45
1983-09-12,65.86
1983-09-13,65.04
1983-09-14,65.11
1983-09-15,64.34
1983-09-16,64.17
1983-09-19,65.13
1983-09-20,65.32
1983-09-21,65.93
1983-09-22,66.33
1983-09-23,66.76
1983-09-26,67.13
1983-09-27,66.64
1983-09-28,66.57
1983-09-29,66.84
1983-09-30,66.96
1983-10-03,66.45
1983-10-04,66.92
1983-10-05,66.56
1983-10-06,67.09
1983-10-07,67.53
1983-10-10,67.48
1983-10-11,67.75
1983-10-12,67.52
1983-10-13,67.25
1983-10-14,67.04
1983-10-17,66.85
1983-10-18,66.91
1983-10-19,66.24
1983-10-20,66.34
1983-10-21,66.44
1983-10-24,65.53
1983-10-25,65.85
1983-10-26,65.33
1983-10-27,64.18
1983-10-28,64.09
1983-10-31,64.14
1983-11-01,63.52
1983-11-02,62.72
1983-11-03,64.11
1983-11-04,63.48
1983-11-07,64.14
1983-11-08,63.92
1983-11-09,63.79
1983-11-10,64.71
1983-11-11,65.32
1983-11-14,66.15
1983-11-15,65.63
1983-11-16,65.32
1983-11-17,65.04
1983-11-18,65.24
1983-11-21,65.21
1983-11-22,66.03
1983-11-23,66.32
1983-11-24,66.58
1983-11-25,67.54
1983-11-28,68.38
1983-11-29,68.46
1983-11-30,69.45
1983-12-01,69.47
1983-12-02,69.99
1983-12-05,70.36
1983-12-06,70.61
1983-12-07,70.29
1983-12-08,70.31
1983-12-09,69.9
1983-12-12,69.96
1983-12-13,70.05
1983-12-14,69.56
1983-12-15,69.05
1983-12-16,69.81
1983-12-19,70.34
1983-12-20,70.24
1983-12-21,70.87
1983-12-22,71.62
1983-12-23,71.58
1983-12-27,73.08
1983-12-28,73.16
1983-12-29,73.22
1984-01-02,75.57
1984-01-03,76.28
1984-01-04,77.7
1984-01-05,79.84
1984-01-06,79.39
1984-01-09,79.51
1984-01-10,79.09
1984-01-11,77.87
1984-01-12,79.14
1984-01-13,79.24
1984-01-16,79.13
1984-01-17,80.41
1984-01-18,81.92
1984-01-19,81.48
1984-01-20,82.27
1984-01-23,82.89
1984-01-24,82.48
1984-01-25,84.45
1984-01-27,85.14
1984-01-30,86.5
1984-01-31,85.87
1984-02-01,87.11
1984-02-02,84.04
1984-02-03,84.89
1984-02-06,80.68
1984-02-07,78.34
1984-02-08,80.4
1984-02-09,76.39
1984-02-10,76.93
1984-02-13,76.48
1984-02-14,76.26
1984-02-15,77.17
1984-02-16,77.02
1984-02-17,78.25
1984-02-20,78.13
1984-02-21,77.24
1984-02-22,75.32
1984-02-23,74.5
1984-02-24,76.38
1984-02-27,78
1984-02-28,76.46
1984-02-29,77.17
1984-03-01,76.15
1984-03-02,76.74
1984-03-05,76.51
1984-03-06,76.68
1984-03-07,76.46
1984-03-08,76.72
1984-03-09,76.45
1984-03-12,75.74
